nom_img;annee;label;position;numcam;numech;vide;fraction_brun
2025_Conforme_1_Cam_B_1_0.jpg;2025;Conforme_1;B;1;0;True;0.0019
2025_Conforme_1_Cam_B_1_1.jpg;2025;Conforme_1;B;1;1;True;0.0035
2025_Conforme_1_Cam_B_1_10.jpg;2025;Conforme_1;B;1;10;True;0.0000
2025_Conforme_1_Cam_B_1_100.jpg;2025;Conforme_1;B;1;100;False;0.4416
2025_Conforme_1_Cam_B_1_101.jpg;2025;Conforme_1;B;1;101;True;0.0000
2025_Conforme_1_Cam_B_1_102.jpg;2025;Conforme_1;B;1;102;False;0.0814
2025_Conforme_1_Cam_B_1_103.jpg;2025;Conforme_1;B;1;103;False;0.2737
2025_Conforme_1_Cam_B_1_104.jpg;2025;Conforme_1;B;1;104;False;0.2692
2025_Conforme_1_Cam_B_1_105.jpg;2025;Conforme_1;B;1;105;AMBIGU;0.0540
2025_Conforme_1_Cam_B_1_106.jpg;2025;Conforme_1;B;1;106;True;0.0001
2025_Conforme_1_Cam_B_1_107.jpg;2025;Conforme_1;B;1;107;False;0.2272
2025_Conforme_1_Cam_B_1_108.jpg;2025;Conforme_1;B;1;108;True;0.0003
2025_Conforme_1_Cam_B_1_109.jpg;2025;Conforme_1;B;1;109;True;0.0000
2025_Conforme_1_Cam_B_1_11.jpg;2025;Conforme_1;B;1;11;True;0.0013
2025_Conforme_1_Cam_B_1_110.jpg;2025;Conforme_1;B;1;110;True;0.0000
2025_Conforme_1_Cam_B_1_111.jpg;2025;Conforme_1;B;1;111;True;0.0000
2025_Conforme_1_Cam_B_1_112.jpg;2025;Conforme_1;B;1;112;False;0.5055
2025_Conforme_1_Cam_B_1_113.jpg;2025;Conforme_1;B;1;113;False;0.3333
2025_Conforme_1_Cam_B_1_114.jpg;2025;Conforme_1;B;1;114;False;0.2347
2025_Conforme_1_Cam_B_1_115.jpg;2025;Conforme_1;B;1;115;True;0.0000
2025_Conforme_1_Cam_B_1_116.jpg;2025;Conforme_1;B;1;116;True;0.0000
2025_Conforme_1_Cam_B_1_117.jpg;2025;Conforme_1;B;1;117;False;0.3966
2025_Conforme_1_Cam_B_1_118.jpg;2025;Conforme_1;B;1;118;False;0.8073
2025_Conforme_1_Cam_B_1_119.jpg;2025;Conforme_1;B;1;119;False;0.3492
2025_Conforme_1_Cam_B_1_12.jpg;2025;Conforme_1;B;1;12;True;0.0004
2025_Conforme_1_Cam_B_1_120.jpg;2025;Conforme_1;B;1;120;False;0.4012
2025_Conforme_1_Cam_B_1_121.jpg;2025;Conforme_1;B;1;121;False;0.4580
2025_Conforme_1_Cam_B_1_122.jpg;2025;Conforme_1;B;1;122;False;0.4027
2025_Conforme_1_Cam_B_1_123.jpg;2025;Conforme_1;B;1;123;False;0.3749
2025_Conforme_1_Cam_B_1_124.jpg;2025;Conforme_1;B;1;124;False;0.3386
2025_Conforme_1_Cam_B_1_125.jpg;2025;Conforme_1;B;1;125;False;0.0665
2025_Conforme_1_Cam_B_1_126.jpg;2025;Conforme_1;B;1;126;False;0.3399
2025_Conforme_1_Cam_B_1_127.jpg;2025;Conforme_1;B;1;127;False;0.3457
2025_Conforme_1_Cam_B_1_128.jpg;2025;Conforme_1;B;1;128;False;0.4763
