numech_B_repere;nom_img_B;nom_img_T;vide_B;vide_T;accord
-6;NULL;2026_NON_Conforme_Cam_T_2_0.jpg;NULL;True;NULL
-5;NULL;2026_NON_Conforme_Cam_T_2_1.jpg;NULL;True;NULL
-4;NULL;2026_NON_Conforme_Cam_T_2_2.jpg;NULL;True;NULL
-3;NULL;2026_NON_Conforme_Cam_T_2_3.jpg;NULL;True;NULL
-2;NULL;2026_NON_Conforme_Cam_T_2_4.jpg;NULL;True;NULL
-1;NULL;2026_NON_Conforme_Cam_T_2_5.jpg;NULL;True;NULL
0;2026_NON_Conforme_Cam_B_2_0.jpg;2026_NON_Conforme_Cam_T_2_6.jpg;True;True;OK
1;2026_NON_Conforme_Cam_B_2_1.jpg;2026_NON_Conforme_Cam_T_2_7.jpg;True;True;OK
2;2026_NON_Conforme_Cam_B_2_2.jpg;2026_NON_Conforme_Cam_T_2_8.jpg;True;True;OK
3;2026_NON_Conforme_Cam_B_2_3.jpg;2026_NON_Conforme_Cam_T_2_9.jpg;True;True;OK
4;2026_NON_Conforme_Cam_B_2_4.jpg;2026_NON_Conforme_Cam_T_2_10.jpg;True;True;OK
5;2026_NON_Conforme_Cam_B_2_5.jpg;2026_NON_Conforme_Cam_T_2_11.jpg;True;True;OK
6;2026_NON_Conforme_Cam_B_2_6.jpg;2026_NON_Conforme_Cam_T_2_12.jpg;True;True;OK
7;2026_NON_Conforme_Cam_B_2_7.jpg;2026_NON_Conforme_Cam_T_2_13.jpg;True;True;OK
8;2026_NON_Conforme_Cam_B_2_8.jpg;2026_NON_Conforme_Cam_T_2_14.jpg;True;True;OK
9;2026_NON_Conforme_Cam_B_2_9.jpg;2026_NON_Conforme_Cam_T_2_15.jpg;False;False;OK
10;2026_NON_Conforme_Cam_B_2_10.jpg;2026_NON_Conforme_Cam_T_2_16.jpg;True;True;OK
11;2026_NON_Conforme_Cam_B_2_11.jpg;2026_NON_Conforme_Cam_T_2_17.jpg;True;True;OK
12;2026_NON_Conforme_Cam_B_2_12.jpg;2026_NON_Conforme_Cam_T_2_18.jpg;True;True;OK
13;2026_NON_Conforme_Cam_B_2_13.jpg;2026_NON_Conforme_Cam_T_2_19.jpg;False;False;OK
14;2026_NON_Conforme_Cam_B_2_14.jpg;2026_NON_Conforme_Cam_T_2_20.jpg;True;True;OK
15;2026_NON_Conforme_Cam_B_2_15.jpg;2026_NON_Conforme_Cam_T_2_21.jpg;True;True;OK
16;2026_NON_Conforme_Cam_B_2_16.jpg;2026_NON_Conforme_Cam_T_2_22.jpg;False;False;OK
17;2026_NON_Conforme_Cam_B_2_17.jpg;2026_NON_Conforme_Cam_T_2_23.jpg;True;AMBIGU;AMBIGU
18;2026_NON_Conforme_Cam_B_2_18.jpg;2026_NON_Conforme_Cam_T_2_24.jpg;True;True;OK
19;2026_NON_Conforme_Cam_B_2_19.jpg;2026_NON_Conforme_Cam_T_2_25.jpg;True;True;OK
20;2026_NON_Conforme_Cam_B_2_20.jpg;2026_NON_Conforme_Cam_T_2_26.jpg;True;True;OK
21;2026_NON_Conforme_Cam_B_2_21.jpg;2026_NON_Conforme_Cam_T_2_27.jpg;True;True;OK
22;2026_NON_Conforme_Cam_B_2_22.jpg;2026_NON_Conforme_Cam_T_2_28.jpg;True;AMBIGU;AMBIGU
23;2026_NON_Conforme_Cam_B_2_23.jpg;2026_NON_Conforme_Cam_T_2_29.jpg;False;False;OK
24;2026_NON_Conforme_Cam_B_2_24.jpg;2026_NON_Conforme_Cam_T_2_30.jpg;False;False;OK
25;2026_NON_Conforme_Cam_B_2_25.jpg;2026_NON_Conforme_Cam_T_2_31.jpg;False;False;OK
26;2026_NON_Conforme_Cam_B_2_26.jpg;2026_NON_Conforme_Cam_T_2_32.jpg;True;True;OK
27;2026_NON_Conforme_Cam_B_2_27.jpg;2026_NON_Conforme_Cam_T_2_33.jpg;False;AMBIGU;AMBIGU
28;2026_NON_Conforme_Cam_B_2_28.jpg;2026_NON_Conforme_Cam_T_2_34.jpg;False;False;OK
29;2026_NON_Conforme_Cam_B_2_29.jpg;2026_NON_Conforme_Cam_T_2_35.jpg;False;False;OK
30;2026_NON_Conforme_Cam_B_2_30.jpg;2026_NON_Conforme_Cam_T_2_36.jpg;True;True;OK
31;2026_NON_Conforme_Cam_B_2_31.jpg;2026_NON_Conforme_Cam_T_2_37.jpg;False;False;OK
32;2026_NON_Conforme_Cam_B_2_32.jpg;2026_NON_Conforme_Cam_T_2_38.jpg;False;False;OK
33;2026_NON_Conforme_Cam_B_2_33.jpg;2026_NON_Conforme_Cam_T_2_39.jpg;False;False;OK
34;2026_NON_Conforme_Cam_B_2_34.jpg;2026_NON_Conforme_Cam_T_2_40.jpg;True;True;OK
35;2026_NON_Conforme_Cam_B_2_35.jpg;2026_NON_Conforme_Cam_T_2_41.jpg;False;False;OK
36;2026_NON_Conforme_Cam_B_2_36.jpg;2026_NON_Conforme_Cam_T_2_42.jpg;True;True;OK
37;2026_NON_Conforme_Cam_B_2_37.jpg;2026_NON_Conforme_Cam_T_2_43.jpg;True;True;OK
38;2026_NON_Conforme_Cam_B_2_38.jpg;2026_NON_Conforme_Cam_T_2_44.jpg;False;False;OK
39;2026_NON_Conforme_Cam_B_2_39.jpg;2026_NON_Conforme_Cam_T_2_45.jpg;False;True;CONFLIT
40;2026_NON_Conforme_Cam_B_2_40.jpg;2026_NON_Conforme_Cam_T_2_46.jpg;False;False;OK
41;2026_NON_Conforme_Cam_B_2_41.jpg;2026_NON_Conforme_Cam_T_2_47.jpg;False;False;OK
42;2026_NON_Conforme_Cam_B_2_42.jpg;2026_NON_Conforme_Cam_T_2_48.jpg;False;False;OK
43;2026_NON_Conforme_Cam_B_2_43.jpg;2026_NON_Conforme_Cam_T_2_49.jpg;False;False;OK
44;2026_NON_Conforme_Cam_B_2_44.jpg;2026_NON_Conforme_Cam_T_2_50.jpg;False;False;OK
45;2026_NON_Conforme_Cam_B_2_45.jpg;2026_NON_Conforme_Cam_T_2_51.jpg;False;False;OK
46;2026_NON_Conforme_Cam_B_2_46.jpg;2026_NON_Conforme_Cam_T_2_52.jpg;False;False;OK
47;2026_NON_Conforme_Cam_B_2_47.jpg;2026_NON_Conforme_Cam_T_2_53.jpg;False;False;OK
48;2026_NON_Conforme_Cam_B_2_48.jpg;2026_NON_Conforme_Cam_T_2_54.jpg;False;False;OK
49;2026_NON_Conforme_Cam_B_2_49.jpg;2026_NON_Conforme_Cam_T_2_55.jpg;False;False;OK
50;2026_NON_Conforme_Cam_B_2_50.jpg;2026_NON_Conforme_Cam_T_2_56.jpg;False;False;OK
51;2026_NON_Conforme_Cam_B_2_51.jpg;2026_NON_Conforme_Cam_T_2_57.jpg;False;False;OK
52;2026_NON_Conforme_Cam_B_2_52.jpg;2026_NON_Conforme_Cam_T_2_58.jpg;False;False;OK
53;2026_NON_Conforme_Cam_B_2_53.jpg;2026_NON_Conforme_Cam_T_2_59.jpg;False;False;OK
54;2026_NON_Conforme_Cam_B_2_54.jpg;2026_NON_Conforme_Cam_T_2_60.jpg;False;False;OK
55;2026_NON_Conforme_Cam_B_2_55.jpg;2026_NON_Conforme_Cam_T_2_61.jpg;False;False;OK
56;2026_NON_Conforme_Cam_B_2_56.jpg;2026_NON_Conforme_Cam_T_2_62.jpg;False;False;OK
57;2026_NON_Conforme_Cam_B_2_57.jpg;2026_NON_Conforme_Cam_T_2_63.jpg;False;False;OK
58;2026_NON_Conforme_Cam_B_2_58.jpg;2026_NON_Conforme_Cam_T_2_64.jpg;False;False;OK
59;2026_NON_Conforme_Cam_B_2_59.jpg;2026_NON_Conforme_Cam_T_2_65.jpg;True;True;OK
60;2026_NON_Conforme_Cam_B_2_60.jpg;2026_NON_Conforme_Cam_T_2_66.jpg;False;AMBIGU;AMBIGU
61;2026_NON_Conforme_Cam_B_2_61.jpg;2026_NON_Conforme_Cam_T_2_67.jpg;True;True;OK
62;2026_NON_Conforme_Cam_B_2_62.jpg;2026_NON_Conforme_Cam_T_2_68.jpg;False;False;OK
63;2026_NON_Conforme_Cam_B_2_63.jpg;2026_NON_Conforme_Cam_T_2_69.jpg;False;False;OK
64;2026_NON_Conforme_Cam_B_2_64.jpg;2026_NON_Conforme_Cam_T_2_70.jpg;False;False;OK
65;2026_NON_Conforme_Cam_B_2_65.jpg;2026_NON_Conforme_Cam_T_2_71.jpg;False;False;OK
66;2026_NON_Conforme_Cam_B_2_66.jpg;2026_NON_Conforme_Cam_T_2_72.jpg;False;False;OK
67;2026_NON_Conforme_Cam_B_2_67.jpg;2026_NON_Conforme_Cam_T_2_73.jpg;True;True;OK
68;2026_NON_Conforme_Cam_B_2_68.jpg;2026_NON_Conforme_Cam_T_2_74.jpg;False;False;OK
69;2026_NON_Conforme_Cam_B_2_69.jpg;2026_NON_Conforme_Cam_T_2_75.jpg;True;True;OK
70;2026_NON_Conforme_Cam_B_2_70.jpg;2026_NON_Conforme_Cam_T_2_76.jpg;True;True;OK
71;2026_NON_Conforme_Cam_B_2_71.jpg;2026_NON_Conforme_Cam_T_2_77.jpg;True;True;OK
72;2026_NON_Conforme_Cam_B_2_72.jpg;2026_NON_Conforme_Cam_T_2_78.jpg;True;True;OK
73;2026_NON_Conforme_Cam_B_2_73.jpg;2026_NON_Conforme_Cam_T_2_79.jpg;False;AMBIGU;AMBIGU
74;2026_NON_Conforme_Cam_B_2_74.jpg;2026_NON_Conforme_Cam_T_2_80.jpg;True;True;OK
75;2026_NON_Conforme_Cam_B_2_75.jpg;2026_NON_Conforme_Cam_T_2_81.jpg;False;False;OK
76;2026_NON_Conforme_Cam_B_2_76.jpg;2026_NON_Conforme_Cam_T_2_82.jpg;False;True;CONFLIT
77;2026_NON_Conforme_Cam_B_2_77.jpg;2026_NON_Conforme_Cam_T_2_83.jpg;True;True;OK
78;2026_NON_Conforme_Cam_B_2_78.jpg;2026_NON_Conforme_Cam_T_2_84.jpg;True;True;OK
79;2026_NON_Conforme_Cam_B_2_79.jpg;2026_NON_Conforme_Cam_T_2_85.jpg;False;False;OK
80;2026_NON_Conforme_Cam_B_2_80.jpg;2026_NON_Conforme_Cam_T_2_86.jpg;True;True;OK
81;2026_NON_Conforme_Cam_B_2_81.jpg;2026_NON_Conforme_Cam_T_2_87.jpg;False;False;OK
82;2026_NON_Conforme_Cam_B_2_82.jpg;2026_NON_Conforme_Cam_T_2_88.jpg;True;True;OK
83;2026_NON_Conforme_Cam_B_2_83.jpg;2026_NON_Conforme_Cam_T_2_89.jpg;False;False;OK
84;2026_NON_Conforme_Cam_B_2_84.jpg;2026_NON_Conforme_Cam_T_2_90.jpg;True;True;OK
85;2026_NON_Conforme_Cam_B_2_85.jpg;2026_NON_Conforme_Cam_T_2_91.jpg;True;True;OK
