id_img;nom_img;vide;fraction_brun
0;2026_Conforme_Cam_T_5_0.jpg;True;0.0000
1;2026_Conforme_Cam_T_5_1.jpg;True;0.0000
2;2026_Conforme_Cam_T_5_2.jpg;True;0.0000
3;2026_Conforme_Cam_T_5_3.jpg;True;0.0000
4;2026_Conforme_Cam_T_5_4.jpg;True;0.0000
5;2026_Conforme_Cam_T_5_5.jpg;True;0.0000
6;2026_Conforme_Cam_T_5_6.jpg;True;0.0000
7;2026_Conforme_Cam_T_5_7.jpg;True;0.0000
8;2026_Conforme_Cam_T_5_8.jpg;True;0.0000
9;2026_Conforme_Cam_T_5_9.jpg;True;0.0000
10;2026_Conforme_Cam_T_5_10.jpg;True;0.0000
11;2026_Conforme_Cam_T_5_11.jpg;True;0.0000
12;2026_Conforme_Cam_T_5_12.jpg;True;0.0000
13;2026_Conforme_Cam_T_5_13.jpg;True;0.0000
14;2026_Conforme_Cam_T_5_14.jpg;True;0.0000
15;2026_Conforme_Cam_T_5_15.jpg;True;0.0000
16;2026_Conforme_Cam_T_5_16.jpg;True;0.0000
17;2026_Conforme_Cam_T_5_17.jpg;True;0.0000
18;2026_Conforme_Cam_T_5_18.jpg;True;0.0000
19;2026_Conforme_Cam_T_5_19.jpg;True;0.0000
20;2026_Conforme_Cam_T_5_20.jpg;True;0.0000
21;2026_Conforme_Cam_T_5_21.jpg;True;0.0000
22;2026_Conforme_Cam_T_5_22.jpg;True;0.0000
23;2026_Conforme_Cam_T_5_23.jpg;True;0.0000
24;2026_Conforme_Cam_T_5_24.jpg;False;0.3402
25;2026_Conforme_Cam_T_5_25.jpg;False;0.0832
26;2026_Conforme_Cam_T_5_26.jpg;False;0.1848
27;2026_Conforme_Cam_T_5_27.jpg;False;0.1924
28;2026_Conforme_Cam_T_5_28.jpg;True;0.0000
29;2026_Conforme_Cam_T_5_29.jpg;False;0.4045
30;2026_Conforme_Cam_T_5_30.jpg;True;0.0000
31;2026_Conforme_Cam_T_5_31.jpg;True;0.0000
32;2026_Conforme_Cam_T_5_32.jpg;True;0.0000
33;2026_Conforme_Cam_T_5_33.jpg;True;0.0000
34;2026_Conforme_Cam_T_5_34.jpg;True;0.0000
35;2026_Conforme_Cam_T_5_35.jpg;False;0.1745
36;2026_Conforme_Cam_T_5_36.jpg;False;0.1941
37;2026_Conforme_Cam_T_5_37.jpg;True;0.0000
38;2026_Conforme_Cam_T_5_38.jpg;True;0.0000
39;2026_Conforme_Cam_T_5_39.jpg;False;0.3481
40;2026_Conforme_Cam_T_5_40.jpg;True;0.0000
41;2026_Conforme_Cam_T_5_41.jpg;False;0.4738
42;2026_Conforme_Cam_T_5_42.jpg;True;0.0000
43;2026_Conforme_Cam_T_5_43.jpg;False;0.1110
44;2026_Conforme_Cam_T_5_44.jpg;False;0.0673
45;2026_Conforme_Cam_T_5_45.jpg;False;0.2915
46;2026_Conforme_Cam_T_5_46.jpg;False;0.3755
47;2026_Conforme_Cam_T_5_47.jpg;False;0.2331
48;2026_Conforme_Cam_T_5_48.jpg;False;0.2687
49;2026_Conforme_Cam_T_5_49.jpg;False;0.1669
50;2026_Conforme_Cam_T_5_50.jpg;True;0.0031
51;2026_Conforme_Cam_T_5_51.jpg;True;0.0000
52;2026_Conforme_Cam_T_5_52.jpg;False;0.2604
53;2026_Conforme_Cam_T_5_53.jpg;True;0.0000
54;2026_Conforme_Cam_T_5_54.jpg;False;0.3751
55;2026_Conforme_Cam_T_5_55.jpg;False;0.1961
56;2026_Conforme_Cam_T_5_56.jpg;True;0.0000
57;2026_Conforme_Cam_T_5_57.jpg;False;0.1012
58;2026_Conforme_Cam_T_5_58.jpg;False;0.4105
